draw,G,kappa,eta_N,eta_D
0,0.356768875377,0.994726181373,0.156403267627,0.0320513756199
1,0.366827977907,0.993249134959,0.148755108504,0.0380131255454
2,0.355805151781,0.972468823863,0.176742383637,0.0501721927762
3,0.363460584639,0.991030210778,0.188413326149,0.0428449767906
4,0.359595103119,0.997674600034,0.153230177259,0.0334431217102
5,0.35893722735,1.00292293708,0.160845914575,0.0397137378589
6,0.35784171632,0.981329319421,0.157251550053,0.0436569183992
7,0.356163537964,0.970441421303,0.157155690574,0.037379407862
8,0.358182516492,1.00357291847,0.168184630819,0.0386655408478
9,0.359918536801,1.04102984888,0.175601681668,0.0465502309964
10,0.358459743595,1.0191733025,0.161443696647,0.0359888003704
11,0.359957982411,1.01170246406,0.164974076081,0.0314466383481
12,0.360381889451,1.03863483086,0.17142279633,0.0414308890236
13,0.367126424991,0.987999935429,0.145671254746,0.0416473051463
14,0.361634689323,1.0014275918,0.164171107618,0.0355646929436
15,0.360901348299,0.988922139512,0.165155532223,0.0479088812485
16,0.362712687509,0.980440720729,0.152231459693,0.0422849644095
17,0.356731196756,0.994868118728,0.158626640743,0.0382276845432
18,0.359094717199,0.999165400013,0.152725260741,0.0270099136771
19,0.361644031584,0.918635614837,0.215201643309,0.054314768316
20,0.352154435446,0.968992291547,0.165552303927,0.039078088895
21,0.360499702749,0.975453226643,0.149425331601,0.0292850797906
22,0.357621013786,0.980150703969,0.159600181798,0.0467901399585
23,0.366862331961,1.00045804227,0.168095619378,0.0513405808025
24,0.354890112461,0.98608306065,0.15522141798,0.0289512567188
25,0.356209776916,0.986783351323,0.162329712803,0.0381790325316
26,0.363066886156,0.993209735387,0.161544154097,0.051054289047
27,0.362814036981,1.02021374858,0.163465656211,0.0413571066356
28,0.365878343849,1.01374910345,0.15128776645,0.0394529490779
29,0.358479862242,0.98833375757,0.163170374271,0.0349908821119
30,0.352896227023,1.00484847666,0.161501022139,0.0309386381008
31,0.348953997111,0.983091533961,0.162508987309,0.0328227588446
32,0.360771923382,1.00646923015,0.157972908483,0.0376279536981
33,0.362207679514,0.976338599318,0.15992261505,0.0430897076948
34,0.349852210326,1.00797106955,0.169387271121,0.0363639188156
35,0.360816712163,0.983191447137,0.204391612848,0.0472748337862
36,0.350527705929,0.984171660447,0.16586488678,0.0366535137654
37,0.366099906979,1.00347453977,0.18196968529,0.0542589767269
38,0.358810899341,0.959210565521,0.157202533008,0.0533076236988
39,0.354899066389,0.994463655919,0.159399013845,0.031070245723
40,0.352801023091,1.03408798989,0.168473965242,0.0344991934154
41,0.360349875954,0.991946636577,0.163375528931,0.0384391100315
42,0.362044533699,0.973882983458,0.177353967745,0.0382076917244
43,0.357885536227,0.973775715788,0.151838976639,0.0321897911567
44,0.365539449487,1.00919647088,0.150044906788,0.0384430846193
45,0.3602970566,0.997578897707,0.163713933374,0.0442031736944
46,0.349342108288,1.02518447342,0.171685585841,0.0300935739313
47,0.355782575691,0.998155895756,0.161639843049,0.0383923664323
48,0.359349651412,0.989719466842,0.161382136925,0.0453656350293
49,0.35908243197,1.01649267001,0.17142378614,0.0353926731841
50,0.356823899376,0.996497757244,0.155270308643,0.0284215167752
51,0.3492014393,0.952923048968,0.16821536409,0.0414971714345
52,0.355183278143,0.990347245595,0.16759435306,0.0445622884286
53,0.353584725969,1.0218515512,0.169398717944,0.0343025199442
54,0.354289112513,0.958346093555,0.153203495614,0.0369316306315
55,0.361972724678,1.0045151485,0.206431014304,0.0233774614108
56,0.353207682292,0.978432440111,0.165599457565,0.0339655271795
57,0.361697074608,0.988275082151,0.167943634548,0.0517040017519
58,0.360129109495,0.990339681484,0.152972280808,0.0395380207865
59,0.348284683324,0.979393503942,0.161658105812,0.0410371086128
60,0.353345588552,1.01969470938,0.163670525925,0.0334654601092
61,0.358937227402,1.0029229374,0.160845914678,0.0397137379826
62,0.355596039694,0.994347820902,0.159280342288,0.0325311841528
63,0.363057117536,0.975728187283,0.163957727164,0.0550821972512
