model,replicate,G,kappa,eta_N,eta_D
Q_by_N,0,0.351219747076,0.985127869455,0.164261834569,
Q_by_N,1,0.350149553683,1.01067488631,0.16857827371,
Q_by_N,2,0.363429832941,0.967822606643,0.18814011796,
Q_by_N,3,0.358115731348,1.01969107166,0.162287893098,
Q_by_N,4,0.358401522584,0.974707477994,0.16234431332,
Q_by_N,5,0.35737827791,0.972841690874,0.160803103642,
Q_by_N,6,0.354864640912,1.00992746064,0.171000338742,
Q_by_N,7,0.354142281751,0.958913504645,0.163380194437,
Q_by_N,8,0.362909966001,0.964460556175,0.148825153819,
Q_by_N,9,0.358321493081,1.02237365286,0.162886612828,
Q_by_N,10,0.352986152497,1.00194237801,0.170299371524,
Q_by_N,11,0.356746344462,1.01036848255,0.162592310858,
Q_by_N,12,0.359355874894,1.01284811453,0.169999448465,
Q_by_N,13,0.353824143661,0.954445038452,0.154866412743,
Q_by_N,14,0.365422135046,0.99972530505,0.151949239216,
Q_by_N,15,0.359554567222,1.01739078651,0.182803800679,
Q_by_N,16,0.348384909486,1.01794761106,0.171167827802,
Q_by_N,17,0.360484712173,0.998848588173,0.158627940248,
Q_by_N,18,0.355729795576,0.994814482279,0.161273822866,
Q_by_N,19,0.357554407775,0.97005662959,0.153828802526,
Q_by_N,20,0.360736772087,1.03753699475,0.167010818112,
Q_by_N,21,0.357640765284,1.03060379665,0.16617934384,
Q_by_N,22,0.358606285627,0.979683321135,0.169788192732,
Q_by_N,23,0.351337873999,1.01023817601,0.170172296625,
Q_by_N,24,0.358657928604,0.981514480663,0.157652176004,
Q_by_N,25,0.350693099782,0.935156917743,0.162686296782,
Q_by_N,26,0.354856551678,0.980994905638,0.159253140699,
Q_by_N,27,0.358164591328,1.02554163181,0.170828915983,
Q_by_N,28,0.354433312783,1.03888381124,0.168859303061,
Q_by_N,29,0.362880636091,1.00557075376,0.156808410305,
Q_by_N,30,0.358529941956,0.970763602584,0.152111528959,
Q_by_N,31,0.355220416854,0.997290377619,0.161080196395,
Q_by_N,32,0.356669040937,0.992279641137,0.155812990696,
Q_by_N,33,0.359773565169,1.03873945242,0.163583729177,
Q_by_N,34,0.358606283845,0.979683307268,0.169788192006,
Q_by_N,35,0.352777681324,1.01481786859,0.168415264612,
Q_by_N,36,0.35267680051,1.01906379981,0.173559365468,
Q_by_N,37,0.356442614088,0.997967569717,0.161186966998,
Q_by_N,38,0.357717729447,0.991920243257,0.173077010668,
Q_by_N,39,0.354073279196,1.00592493797,0.166347656848,
Q_by_N,40,0.359713830947,0.992981895675,0.157392822559,
Q_by_N,41,0.359448819375,0.993489049768,0.167915696751,
Q_by_N,42,0.355557335731,0.989032721959,0.159770071471,
Q_by_N,43,0.361147002814,0.985337336995,0.156750771955,
Q_by_N,44,0.355794291277,0.992466307815,0.172430656297,
Q_by_N,45,0.356821046826,1.01919257308,0.1811983344,
Q_by_N,46,0.363714883087,1.00194280999,0.187646762114,
Q_by_N,47,0.360768555113,0.98214586919,0.151131294739,
Q_by_N,48,0.363853429727,0.973424799478,0.156370028809,
Q_by_N,49,0.356364261249,0.99218289618,0.154628766455,
Q_by_N,50,0.35424127564,0.991829680343,0.159707690216,
Q_by_N,51,0.35093392609,1.0101033867,0.163114898772,
Q_by_N,52,0.353638449299,1.00154859442,0.161634573838,
Q_by_N,53,0.349234526858,0.978033516762,0.16370288038,
Q_by_N,54,0.358842458435,1.04914482029,0.179410430609,
Q_by_N,55,0.357280385031,1.01665192344,0.17117595891,
Q_by_N,56,0.356112886527,1.04434150255,0.176103343637,
Q_by_N,57,0.360907948793,0.99305786498,0.166025150143,
Q_by_N,58,0.357910830927,0.983896237968,0.152670421776,
Q_by_N,59,0.350037344092,1.04311444176,0.174148977875,
Q_by_N,60,0.361348225463,0.986664402042,0.166205669862,
Q_by_N,61,0.358367428046,0.992709917915,0.152732655011,
Q_by_N,62,0.355083646938,1.02163322171,0.166905286613,
